word1,word2,label,relation
mèo,phương_tiện,0,co-hypernym
ghế,động_vật,0,random
ô_tô,phương_tiện,1,hypernym
ô_tô,dụng_cụ,0,random
ô_tô,phương_tiện,0,random
kem,động_vật,0,random
gà,thực_vật,0,random
vịt,động_vật,0,random
ô_tô,phương_tiện,0,co-hypernym
ô_tô,động_vật,0,co-hypernym
sách,thú_cưng,0,random
sách,văn_hóa_phẩm,1,hypernym
mèo,phương_tiện,0,random
ghế,nội_thất,1,hypernym
ô_tô,động_vật,0,co-hypernym
cá,nội_thất,0,random
táo,trái_cây,1,hypernym
hoa,món_tráng_miệng,0,co-hypernym
kem,động_vật,0,random
táo,động_vật,0,co-hypernym
kem,động_vật,0,random
vịt,thú_cưng,0,random
vịt,món_tráng_miệng,0,co-hypernym
heo,phương_tiện,0,co-hypernym
ô_tô,món_tráng_miệng,0,random
chó,thực_vật,0,co-hypernym
chó,động_vật,1,hypernym
heo,động_vật,1,hypernym
xe_đạp,nội_thất,0,random
bút,động_vật,0,co-hypernym
máy_bay,trái_cây,0,co-hypernym
ghế,nội_thất,1,hypernym
xe_đạp,phương_tiện,0,random
táo,văn_hóa_phẩm,0,co-hypernym
gà,trái_cây,0,random
mèo,thú_cưng,1,hypernym
gà,động_vật,1,hypernym
heo,động_vật,1,hypernym
mèo,gia_cầm,0,random
cá,dụng_cụ,0,co-hypernym
bút,dụng_cụ,1,hypernym
cá,động_vật,1,hypernym
táo,động_vật,0,random
mèo,thú_cưng,1,hypernym
máy_bay,trái_cây,0,random
táo,trái_cây,1,hypernym
cá,động_vật,1,hypernym
cá,nội_thất,0,co-hypernym
chó,động_vật,0,random
chó,động_vật,1,hypernym
kem,phương_tiện,0,co-hypernym
mèo,phương_tiện,0,co-hypernym
cá,động_vật,0,random
bút,động_vật,0,co-hypernym
xe_đạp,phương_tiện,1,hypernym
xe_đạp,phương_tiện,0,random
ghế,động_vật,0,co-hypernym
hoa,trái_cây,0,random
chó,dụng_cụ,0,random
ô_tô,phương_tiện,0,random
ô_tô,gia_cầm,0,random
chó,động_vật,1,hypernym
hoa,trái_cây,0,co-hypernym
ô_tô,động_vật,0,random
kem,động_vật,0,co-hypernym
chó,phương_tiện,0,co-hypernym
sách,thực_vật,0,random
ghế,nội_thất,1,hypernym
bút,thú_cưng,0,co-hypernym
xe_đạp,động_vật,0,random
cá,trái_cây,0,co-hypernym
gà,phương_tiện,0,co-hypernym
kem,phương_tiện,0,random
máy_bay,phương_tiện,0,co-hypernym
chó,động_vật,1,hypernym
bút,văn_hóa_phẩm,0,co-hypernym
chó,trái_cây,0,random
ghế,nội_thất,1,hypernym
heo,động_vật,0,co-hypernym
máy_bay,phương_tiện,1,hypernym
ô_tô,phương_tiện,1,hypernym
máy_bay,văn_hóa_phẩm,0,random
vịt,gia_cầm,1,hypernym
kem,động_vật,0,co-hypernym
ghế,nội_thất,0,co-hypernym
sách,động_vật,0,co-hypernym
heo,động_vật,0,co-hypernym
gà,động_vật,1,hypernym
gà,động_vật,0,co-hypernym
sách,thú_cưng,0,random
máy_bay,phương_tiện,1,hypernym
heo,động_vật,0,co-hypernym
mèo,văn_hóa_phẩm,0,random
xe_đạp,phương_tiện,1,hypernym
hoa,phương_tiện,0,random
cá,thú_cưng,0,random
xe_đạp,thú_cưng,0,co-hypernym
xe_đạp,phương_tiện,0,random
ô_tô,dụng_cụ,0,co-hypernym
ô_tô,trái_cây,0,random
hoa,động_vật,0,co-hypernym
vịt,trái_cây,0,random
hoa,phương_tiện,0,random
bút,dụng_cụ,1,hypernym
máy_bay,thực_vật,0,co-hypernym
chó,động_vật,0,random
xe_đạp,nội_thất,0,co-hypernym
gà,dụng_cụ,0,co-hypernym
bút,trái_cây,0,co-hypernym
bút,món_tráng_miệng,0,co-hypernym
cá,thú_cưng,0,co-hypernym
vịt,trái_cây,0,random
heo,động_vật,0,random
cá,phương_tiện,0,co-hypernym
kem,món_tráng_miệng,0,random
vịt,nội_thất,0,co-hypernym
kem,món_tráng_miệng,1,hypernym
mèo,gia_cầm,0,co-hypernym
sách,văn_hóa_phẩm,1,hypernym
táo,món_tráng_miệng,0,random
vịt,phương_tiện,0,co-hypernym
chó,động_vật,1,hypernym
táo,trái_cây,1,hypernym
bút,trái_cây,0,random
máy_bay,phương_tiện,0,random
máy_bay,món_tráng_miệng,0,random
sách,văn_hóa_phẩm,1,hypernym
hoa,động_vật,0,random
sách,gia_cầm,0,co-hypernym
sách,văn_hóa_phẩm,1,hypernym
chó,trái_cây,0,co-hypernym
gà,món_tráng_miệng,0,random
gà,động_vật,0,co-hypernym
ô_tô,phương_tiện,1,hypernym
heo,động_vật,1,hypernym
sách,gia_cầm,0,co-hypernym
vịt,gia_cầm,0,co-hypernym
táo,phương_tiện,0,random
chó,gia_cầm,0,co-hypernym
xe_đạp,món_tráng_miệng,0,random
mèo,nội_thất,0,random
hoa,dụng_cụ,0,random
heo,gia_cầm,0,co-hypernym
mèo,thực_vật,0,random
gà,thực_vật,0,random
vịt,món_tráng_miệng,0,co-hypernym
cá,động_vật,0,co-hypernym
gà,động_vật,0,random
ghế,nội_thất,1,hypernym
